Brand Name,Generic Name,Number of Manufacturers,Year,Total Spending,Total Dosage Units,Total Claims,"Total 
Beneficiaries",Average Spending Per Dosage Unit (Weighted),"Average 
Spending Per Claim","Average 
Spending Per Beneficiary","Outlier 
Flag",Change in Average Spending Per Dosage Unit (2021-2022),Annual Growth Rate in Average Spending Per Dosage Unit (2018-2022)
Adderall XR,Dextroamphetamine/Amphetamine,1,2018,8032117.17,1676353,34589,5952,4.85,232.22,1349.48,0,0.0116,0.0989
Adefovir Dipivoxil,Adefovir Dipivoxil,2,2018,5325462.51,189521,5782,740,28.1,921.04,7196.57,0,0.0021,-0.0149
Adempas,Riociguat,1,2018,256166028.2,2292012,26246,3192,111.77,9760.19,80252.52,0,0.0581,0.0642
Adlyxin,Lixisenatide,1,2018,63298.03,636,70,26,99.67,904.26,2434.54,0,0.0025,0.0359
Admelog,Insulin Lispro,1,2018,403661.76,17019,1069,658,23.72,377.61,613.47,0,-0.1981,-0.1742
Admelog Solostar,Insulin Lispro,1,2018,1124957.97,36927,2995,1645,30.46,375.61,683.87,0,-0.2328,-0.1864
Adrenalin,Epinephrine,1,2018,21787.27,7243,490,395,2.83,44.46,55.16,1,0.0228,0.5465
Advair Diskus,Fluticasone Propion/Salmeterol,1,2018,2393807457,356738339,4398315,1030947,6.71,544.26,2321.95,0,0.0065,0.0053
Advair HFA,Fluticasone Propion/Salmeterol,1,2018,260074489.9,7030447,461754,121649,36.95,563.23,2137.91,0,0.01,0.0123
Advocate Pen Needle,"Pen Needle, Diabetic",1,2018,99685.13,178610,1282,745,0.56,77.76,133.81,0,0.069,0.0567
Advocate Pen Needles,"Pen Needle, Diabetic",1,2018,1480139.85,3118960,24472,8093,0.47,60.48,182.89,0,0.0884,0.0983
Advocate Syringes,"Syring-Needl,Disp,Insul,0.3 Ml",1,2018,75711.5,152813,1886,544,0.5,40.14,139.18,0,0.0655,0.1013
Advocate Syringes,"Syringe And Needle,Insulin,1ml",1,2018,304063.64,644564,5426,1771,0.47,56.04,171.69,0,0.0629,0.1092
Advocate Syringes,"Syringe-Needle,Insulin,0.5 Ml",1,2018,244656.42,510744,5600,1684,0.48,43.69,145.28,0,0.073,0.1074
Adzenys XR-ODT,Amphetamine,1,2018,326765.14,30393,843,200,10.75,387.62,1633.83,0,0.0323,0.0945
Afinitor,Everolimus,1,2018,386491662.5,727436,25463,5544,531.41,15178.56,69713.5,0,0.0013,0.0221
Afinitor Disperz,Everolimus,1,2018,4462227.2,8462,183,34,529.73,24383.76,131241.98,0,0.0233,0.0324
Afrezza,"Insulin Regular, Human",1,2018,4495446.24,749550,4143,1135,6,1085.07,3960.75,0,0.1019,0.1163
Agrylin,Anagrelide HCl,1,2018,212176.42,26646,224,41,7.96,947.22,5175.03,0,0.008,0.0065
Aimovig Autoinjector,Erenumab-Aooe,1,2018,12480615.36,21497,17475,8252,580.57,714.2,1512.44,0,0.087,0.0598
Airduo Respiclick,Fluticasone Propion/Salmeterol,1,2018,254968.43,854,771,469,298.5,330.7,543.64,0,0.0895,0.0518
Ajovy Syringe,Fremanezumab-Vfrm,1,2018,1033232.41,2656,1498,1199,389.02,689.74,861.75,0,0.064,0.0479
Ak-Poly-Bac,Bacitracin/Polymyxin B Sulfate,1,2018,4002.05,879,247,199,4.56,16.2,20.11,0,-0.0128,-0.0232
Akten,Lidocaine HCl/PF,1,2018,2452.77,94,53,45,26.09,46.28,54.51,0,-0.0064,0
Akynzeo,Netupitant/Palonosetron HCl,1,2018,683619.2,1264,612,230,540.84,1117.02,2972.26,0,0.0794,0.0651
Ala-Cort,Hydrocortisone,1,2018,310.1,1986,66,57,0.16,4.7,5.44,0,0.0313,0.2965
Albendazole,Albendazole,9,2018,1012105.88,6208,668,877,163.03,1515.13,1154.05,0,-0.2286,-0.1928
Albutein,Albumin Human,1,2018,13299.87,16610,37,15,0.98,359.46,886.66,1,0.452,0.0607
Albuterol Sulfate*,Albuterol Sulfate,15,2018,22459338.77,64785435,565874,206836,0.43,39.69,108.59,0,-0.0908,0.0047
Alclometasone Dipropionate,Alclometasone Dipropionate,3,2018,4864670.41,3642482,63120,42555,1.33,77.07,114.31,0,-0.0098,-0.0319
Alcohol Pads,Alcohol Antiseptic Pads,2,2018,23121706.07,55086223,381175,112863,0.42,60.66,204.87,0,0.0076,-0.0065
Alcohol Prep Pads,Alcohol Antiseptic Pads,18,2018,39457137.91,110386334,670880,226197,0.34,58.81,174.44,0,-0.149,-0.1519
Alcohol Swab,Alcohol Antiseptic Pads,1,2018,69536.31,3022965,24341,8771,0.02,2.86,7.93,0,0.0396,0.016
Alcohol Swabs,Alcohol Antiseptic Pads,10,2018,172883.61,7165470,57858,26741,0.02,2.99,6.47,0,0.1438,0.1264
Alcohol Wipes,Alcohol Antiseptic Pads,4,2018,11239.24,274141,2264,2065,0.04,4.96,5.44,0,0.2197,0.215
Aldactazide,Spironolact/Hydrochlorothiazid,1,2018,222849.82,62909,1064,337,3.69,209.45,661.28,0,0.0579,0.0453
Aldactone,Spironolactone,1,2018,640482.5,209500,2851,789,3.11,224.65,811.76,0,0.0464,0.0296
Alecensa,Alectinib HCl,1,2018,64635716.51,1048698,4690,806,61.63,13781.6,80193.2,0,0.0613,0.0414
Alendronate Sodium,Alendronate Sodium,10,2018,50813579.06,50652712,5693070,1781542,1.09,8.93,28.52,0,0.0458,0.013
Alfuzosin HCl ER,Alfuzosin HCl,7,2018,16713302.95,39740522,627731,167379,0.42,26.62,99.85,0,-0.0568,-0.0037
Alimta,Pemetrexed Disodium,1,2018,7522797.52,4784,1462,279,2371.45,5145.55,26963.43,0,0.1528,0.01
Allopurinol,Allopurinol,17,2018,146609301.2,612409894,8607906,1959387,0.25,17.03,74.82,0,-0.0109,-0.0638
Almotriptan Malate,Almotriptan Malate,2,2018,1858369.13,76579,5818,1495,24.29,319.42,1243.06,0,0.075,-0.0026
Alocril,Nedocromil Sodium,1,2018,439814.02,9865,1545,663,44.58,284.67,663.37,0,-0.0212,0.0119
Alogliptin,Alogliptin Benzoate,2,2018,7269829.64,1196400,26372,8106,6.08,275.66,896.85,0,0.0035,-0.0091
Alogliptin-Metformin,Alogliptin Benz/Metformin HCl,2,2018,1276456.43,415083,4800,1444,3.08,265.93,883.97,0,-0.009,-0.0125
Alogliptin-Pioglitazone,Alogliptin Benz/Pioglitazone,1,2018,1365441.83,220048,4615,1166,6.21,295.87,1171.05,0,-0.0018,-0.0044
Alomide,Lodoxamide Tromethamine,1,2018,156348.28,9088,700,293,17.2,223.35,533.61,0,0.0212,0.0078
Alosetron HCl,Alosetron HCl,6,2018,15008078.35,621196,10248,2175,24.24,1464.49,6900.27,0,-0.004,-0.0485
Alphagan P,Brimonidine Tartrate,1,2018,200393560.3,6876245,755351,175503,29.18,265.3,1141.82,0,0.0588,0.0685
Alprazolam,Alprazolam,8,2018,98011025.02,813867292,12783127,2522897,0.12,7.67,38.85,0,-0.0997,0.0517
Alprazolam ER,Alprazolam,2,2018,2432741.44,2808271,54929,10349,0.89,44.29,235.07,0,0.1045,-0.0013
Alprazolam Intensol,Alprazolam,1,2018,30529.67,10135,263,155,3.01,116.08,196.97,0,0.002,-0.0048
Alprazolam ODT,Alprazolam,2,2018,792258.49,496785,8360,3057,1.54,94.77,259.16,0,0.0077,-0.0165
Alprazolam XR,Alprazolam,1,2018,605189.7,777681,14956,3900,0.79,40.46,155.18,0,0.0491,-0.0173
Alrex,Loteprednol Etabonate,1,2018,12287973.64,286820,42101,19127,42.84,291.87,642.44,0,0.0725,0.0659
Altace,Ramipril,1,2018,5805847.31,881762,10659,2248,6.56,544.69,2582.67,0,0.0164,0.0046
Altavera,Levonorgestrel/Ethin.Estradiol,1,2018,24988.62,44660,783,823,0.56,31.91,30.36,0,-0.1294,-0.064
Altoprev,Lovastatin,1,2018,2153012.4,77816,1446,434,27.67,1488.94,4960.86,0,0.1131,0.0714
Altreno,Tretinoin,1,2018,1507.53,585,13,13,2.58,115.96,115.96,1,0.009,0.0015
Alunbrig,Brigatinib,1,2018,11562020.55,31737,657,151,449.93,17598.2,76569.67,0,0.02,0.0355
Alvesco,Ciclesonide,1,2018,739683.84,22503,1964,3384,32.97,376.62,218.58,0,-0.0023,-0.2227
Alyacen,Norethindrone-Ethin. Estradiol,1,2018,119714.1,199624,4693,1226,0.6,25.51,97.65,0,0.016,0.0274
Amabelz,Estradiol/Norethindrone Acet,1,2018,970984.45,366540,5349,1729,2.65,181.53,561.59,0,0.1692,-0.0383
Amantadine,Amantadine HCl,20,2018,40397711.22,44695577,481317,95210,1.12,83.93,424.3,0,-0.0253,-0.0717
Amaryl,Glimepiride,1,2018,1167864.63,391866,4469,935,2.98,261.33,1249.05,0,0.0341,0.0141
Ambien,Zolpidem Tartrate,1,2018,13099802.66,782770,21244,3743,16.74,616.64,3499.81,0,0.0529,0.0537
Ambien Cr,Zolpidem Tartrate,1,2018,7811388.27,490899,13304,2036,15.93,587.15,3836.63,0,0.066,0.0645
Ambisome,Amphotericin B Liposome,1,2018,746873.35,22550,469,93,33.12,1592.48,8030.9,0,0.1597,0.2672
Amcinonide,Amcinonide,1,2018,387351.9,79005,954,541,4.92,406.03,715.99,0,0.0036,0.0216
Amerge,Naratriptan HCl,1,2018,501019.1,8889,612,113,56.36,818.66,4433.8,0,0.01,0.0125
Amethia,L-Norgest/E.Estradiol-E.Estrad,1,2018,79153.79,49574,542,284,1.6,146.04,278.71,0,-0.1465,-0.1162
Amethyst,Levonorgestrel/Ethin.Estradiol,1,2018,56853.2,38584,832,176,1.47,68.33,323.03,0,0.0369,-0.0168
Amicar,Aminocaproic Acid,1,2018,6755554.68,386303,2646,1200,19.12,2553.12,5629.63,0,0.0437,-0.0138
Amikacin Sulfate,Amikacin Sulfate,6,2018,1788517.03,1073046,16532,5224,1.81,108.19,342.37,0,-0.2147,0.0236
Amiloride HCl,Amiloride HCl,3,2018,2039375.55,6107567,74490,21914,0.33,27.38,93.06,0,-0.0477,-0.0906
Amiloride-Hydrochlorothiazide,Amiloride/Hydrochlorothiazide,2,2018,2134891,4750011,71428,17100,0.45,29.89,124.85,0,-0.0121,-0.0154
Aminocaproic Acid*,Aminocaproic Acid,10,2018,61665.91,3494,23,20,18.34,2681.13,3083.3,1,-0.1053,-0.085
Amiodarone HCl*,Amiodarone HCl,11,2018,68589944.4,144775107,2658550,656427,0.5,25.8,104.49,0,-0.0421,0.0193
Amitiza,Lubiprostone,1,2018,310583041.8,49307880,793149,175516,6.3,391.58,1769.54,0,-0.0086,-0.0016
Amitriptyline HCl,Amitriptyline HCl,9,2018,73060600.02,199107850,3128826,782930,0.39,23.35,93.32,0,-0.0402,-0.038
Amlodipine Besylate,Amlodipine Besylate,19,2018,280454122.9,2533572631,40286064,8932079,0.11,6.96,31.4,0,0.052,-0.0166
Amlodipine Besylate-Benazepril,Amlodipine Besylate/Benazepril,5,2018,48239854.92,103116426,1538507,410942,0.47,31.35,117.39,0,-0.1152,-0.1059
Amlodipine-Atorvastatin,Amlodipine/Atorvastatin,5,2018,28995183.54,6812258,99604,24560,4.27,291.1,1180.59,0,-0.0121,-0.0371
Amlodipine-Olmesartan,Amlodipine Bes/Olmesartan Med,9,2018,23232886.75,10850371,182458,48868,2.12,127.33,475.42,0,-0.1751,-0.1449
Amlodipine-Valsartan,Amlodipine Besylate/Valsartan,6,2018,18820351.93,18735873,297880,84039,1.01,63.18,223.95,0,0.0408,-0.0099
Amlodipine-Valsartan-HCTZ,Amlodipine/Valsartan/HCThiazid,4,2018,8647318.1,3493071,55736,24238,2.47,155.15,356.77,0,1.482,0.2763
Ammonium Lactate,Ammonium Lactate,2,2018,25948398.77,309068739,996625,408472,0.08,26.04,63.53,0,0.0111,-0.009
Amnesteem,Isotretinoin,1,2018,276071.72,42392,933,442,6.5,295.9,624.6,0,-0.0601,-0.0861
Amoxapine,Amoxapine,1,2018,220879.36,226731,3126,826,1.01,70.66,267.41,0,-0.0295,0.0361
Amoxicillin,Amoxicillin,9,2018,32765850.23,169458095,7460319,5215375,0.2,4.39,6.28,0,0.1019,-0.0002
Amoxicillin-Clavulanate Pot ER,Amoxicillin/Potassium Clav,2,2018,1860277.94,376200,13954,12130,4.94,133.32,153.36,0,0.0089,0.0341
Amoxicillin-Clavulanate Potass,Amoxicillin/Potassium Clav,9,2018,62914979.14,101803397,4969596,3812570,0.64,12.66,16.5,0,0.0991,0.021
Amphetamine Sulfate,Amphetamine Sulfate,4,2018,18032.86,3480,39,41,5.19,462.38,439.83,0,-0.1134,-0.1302
Amphotericin B,Amphotericin B,1,2018,230884.89,129804,1032,266,1.78,223.73,867.99,0,0.693,0.3579
Ampicillin Sodium*,Ampicillin Sodium,13,2018,2701460.06,2781087,14882,2830,2.5,181.53,954.58,0,0.3772,0.1444
Ampicillin Trihydrate,Ampicillin Trihydrate,1,2018,1415281.72,3466371,116905,96899,0.41,12.11,14.61,0,0.0099,0.0512
Ampicillin-Sulbactam*,Ampicillin Sod/Sulbactam Sod,10,2018,2290892.21,3112993,15425,3604,1.86,148.52,635.65,0,-0.2793,0.0638
Ampyra,Dalfampridine,1,2018,282276839.9,6411339,92963,13738,44.03,3036.44,20547.16,0,0.1091,0.0859
Amrix,Cyclobenzaprine HCl,1,2018,7021355.99,192886,4959,1115,36.41,1415.88,6297.18,0,0.0946,0.0899
Anafranil,Clomipramine HCl,1,2018,1681323.99,46922,469,70,35.85,3584.91,24018.91,0,0.0144,0.0106
Anagrelide HCl,Anagrelide HCl,2,2018,11607139.96,4382883,40603,7321,2.74,285.87,1585.46,0,-0.1821,0.0461
Analpram HC*,Hydrocortisone/Pramoxine,1,2018,92139.73,17035,310,225,5.77,297.22,409.51,0,0.0261,0.04
Anaspaz,Hyoscyamine Sulfate,1,2018,6513.74,28660,427,216,0.23,15.25,30.16,0,-0.0024,0.0473
Anastrozole,Anastrozole,10,2018,26245678.08,82015085,1429815,319578,0.32,18.36,82.13,0,-0.0594,0.0564
Androderm,Testosterone,1,2018,3438818.22,186642,4245,7413,18.45,810.09,463.89,0,0.0064,-0.0065
Androgel,Testosterone,1,2018,258927446.6,31328982,257527,67042,8.49,1005.44,3862.17,0,0.007,-0.02
Angeliq,Drospirenone/Estradiol,1,2018,319557.77,50686,1162,252,6.31,275.01,1268.09,0,0.0188,0.0208
Anoro Ellipta,Umeclidinium Brm/Vilanterol Tr,1,2018,666506621.8,99399550,1353747,311955,6.71,492.34,2136.55,0,0.0426,0.0377
Antara,"Fenofibrate,Micronized",1,2018,1097658.43,73874,1414,362,14.83,776.28,3032.21,0,0.0285,0.0092
Anusol-HC,Hydrocortisone,1,2018,84494.42,25482,745,543,3.32,113.42,155.61,0,0.093,0.0769
Apexicon E,Diflorasone Diacet/Emollient,1,2018,415286,27540,485,268,15.08,856.26,1549.57,1,0.0519,0.0591
Apidra,Insulin Glulisine,1,2018,6875874.3,260090,8865,2470,26.44,775.62,2783.75,0,0.0103,0.0182
Apidra Solostar,Insulin Glulisine,1,2018,16589813.26,485918,20742,6206,34.14,799.82,2673.19,0,0.0097,0.018
Aplenzin,Bupropion HBr,1,2018,8542405.74,87237,2177,372,99.79,3923.93,22963.46,0,0.0546,0.0507
Apokyn,Apomorphine HCl,1,2018,91377703.3,260042,4136,1187,351.4,22093.26,76982.06,0,0.0939,0.0628
Apraclonidine HCl,Apraclonidine HCl,2,2018,450104.17,39810,5211,2011,11.3,86.38,223.82,0,-0.0074,0.0091
Aprepitant,Aprepitant,3,2018,6588765.97,46319,9980,3974,148.35,660.2,1657.97,0,-0.0209,-0.0345
Apri,Desogestrel-Ethinyl Estradiol,1,2018,236914.73,405493,9142,1896,0.58,25.91,124.96,0,-0.0957,-0.0539
Apriso,Mesalamine,1,2018,110176568,27290584,181224,33813,4.04,607.96,3258.41,0,0.0801,0.0217
Aptensio XR,Methylphenidate HCl,1,2018,105775.46,13416,356,94,7.87,297.12,1125.27,0,0.0077,0.0243
Aptiom,Eslicarbazepine Acetate,1,2018,82583684.04,2641770,66822,7684,31.26,1235.88,10747.49,0,0.0654,0.0594
Aptivus,Tipranavir,1,2018,2451445.79,182620,1456,164,13.42,1683.69,14947.84,0,0.0552,0.0589
Aralast NP,Alpha-1-Proteinase Inhibitor,1,2018,38921231.87,70265606,4265,366,0.55,9125.73,106342.16,0,0.0423,0.0251
Aranelle,Norethindrone-Ethin. Estradiol,1,2018,25238.04,28840,738,109,0.88,34.2,231.54,0,-0.0539,-0.0005
Aranesp,Darbepoetin Alfa In Polysorbat,1,2018,49085276.64,30601,31689,6664,1693.44,1548.97,7365.74,0,0.0681,0.0973
Arava,Leflunomide,1,2018,1074997.87,27900,575,127,38.52,1869.56,8464.55,0,0.0732,0.0596
Arestin,Minocycline HCl Microspheres,1,2018,9320627.29,89090,3046,2890,104.62,3059.96,3225.13,0,0.0031,0.0028
Aricept,Donepezil HCl,1,2018,4998280.09,308262,6098,1291,16.2,819.66,3871.63,0,0.0402,0.0044
Arikayce,Amikacin Liposomal/Neb.Accessr,1,2018,5236221.11,119246,507,298,43.91,10327.85,17571.21,0,0.0886,0.0756
Arimidex,Anastrozole,1,2018,1948842.67,48810,864,670,39.93,2255.6,2908.72,0,0.0247,0.0693
Aripiprazole,Aripiprazole,22,2018,471520722.4,99254976,2837517,472497,4.8,166.17,997.93,0,0.2034,-0.0888
Aripiprazole ODT,Aripiprazole,5,2018,3823673.61,125369,3332,1006,30.5,1147.56,3800.87,0,0.027,-0.0518
Aristada,Aripiprazole Lauroxil,1,2018,112271065.8,146076,49839,8334,768.85,2252.67,13471.45,0,0.0371,0.053
Aristada Initio,"Aripiprazole Lauroxil,Submicr.",1,2018,512454.96,641,267,262,799.71,1919.31,1955.93,0,0.0353,0.0486
Arixtra,Fondaparinux Sodium,1,2018,865591.6,4561,207,39,196.14,4181.6,22194.66,0,0.0506,-0.0016
Armodafinil,Armodafinil,5,2018,15707920.96,4151688,106796,20465,3.82,147.08,767.55,1,-0.0669,-0.1072
Armour Thyroid,"Thyroid,Pork",1,2018,13684930.26,16322065,259182,57410,0.87,52.8,238.37,0,0.0655,0.0727
Arnuity Ellipta,Fluticasone Furoate,1,2018,50489321.17,7706429,205279,55166,6.55,245.95,915.23,0,0.0642,0.0384
Aromasin,Exemestane,1,2018,2614908.9,73961,1483,305,35.36,1763.26,8573.47,0,0.0545,0.0142
Arthrotec 50,Diclofenac Sodium/Misoprostol,1,2018,492473.92,61521,670,162,8,735.04,3039.96,0,0.0652,0.0173
Arthrotec 75,Diclofenac Sodium/Misoprostol,1,2018,1525182.13,189413,2055,467,8.05,742.18,3265.91,0,0.0522,0.0181
Asacol Hd,Mesalamine,1,2018,47589739.1,5643172,36016,8018,8.43,1321.35,5935.36,0,-0.0013,0.0298
Ascomp With Codeine,Codeine/Butalbital/Asa/Caffein,1,2018,1588482.81,1088306,12948,2624,1.46,122.68,605.37,0,-0.0354,0.0219
Ashlyna,L-Norgest/E.Estradiol-E.Estrad,1,2018,302161.32,212726,2379,1068,1.42,127.01,282.92,0,-0.0768,-0.0761
Asmanex,Mometasone Furoate,2,2018,30629945.56,139138,92598,27537,221.11,330.78,1112.32,0,0.049,0.0153
Asmanex HFA,Mometasone Furoate,2,2018,8708176.4,558955,31621,12939,15.52,275.39,673.02,0,0.0401,0.0107
Aspirin-Dipyridamole ER,Aspirin/Dipyridamole,10,2018,98128963.12,20487953,230961,48129,4.79,424.87,2038.87,0,-0.0414,-0.1119
Assure Id Insulin Safety,"Syringe,Needle,Insuln,Sf 0.5ml",1,2018,2040.24,8340,82,46,0.24,24.88,44.35,0,-0.0569,-0.0068
Astagraf XL,Tacrolimus,1,2018,368384.28,55912,526,88,8.59,700.35,4186.19,0,0.2077,0.024
Atacand,Candesartan Cilexetil,1,2018,335937.89,44847,694,1829,7.61,484.06,183.67,0,0.0017,0.0304
Atacand HCT,Candesartan/Hydrochlorothiazid,1,2018,88736.43,11512,154,613,7.75,576.21,144.76,0,0.0075,0.0318
Atazanavir Sulfate,Atazanavir Sulfate,7,2018,31212639.85,1135170,30063,7103,29.96,1038.24,4394.29,0,-0.0279,-0.2105
Atelvia,Risedronate Sodium,1,2018,1404219.85,22364,3908,813,62.79,359.32,1727.21,0,0.0176,0.0178
Atenolol,Atenolol,12,2018,72267272.28,601650994,7654384,1992548,0.12,9.44,36.27,0,-0.0399,-0.0222
Atenolol-Chlorthalidone,Atenolol/Chlorthalidone,5,2018,16473103.51,28273107,439347,125789,0.58,37.49,130.96,0,0.0248,0.0033
Ativan*,Lorazepam,2,2018,28148532.25,877932,10521,1830,31.59,2675.46,15381.71,0,0.0681,0.0839
Atomoxetine HCl,Atomoxetine HCl,10,2018,36576676.78,6308762,159197,29345,5.83,229.76,1246.44,0,0.0611,-0.0952
Atorvastatin Calcium,Atorvastatin Calcium,29,2018,880629202.7,3276960741,51715670,11861387,0.27,17.03,74.24,0,-0.0499,-0.0883
Atovaquone,Atovaquone,10,2018,21717420.35,6003435,22713,12169,3.62,956.17,1784.65,0,0.0418,-0.044
Atovaquone-Proguanil HCl,Atovaquone/Proguanil HCl,4,2018,6505400.92,1853739,68187,62805,3.51,95.41,103.58,0,0.1551,0.0299
Atralin,Tretinoin,1,2018,49884.2,3960,85,30,12.6,586.87,1662.81,0,0.0149,0.015
Atripla,Efavirenz/Emtricit/Tenofovr Df,1,2018,324510466.8,3519797,110396,13573,92.2,2939.51,23908.53,0,-0.0211,0.0194
Atropine Sulfate*,Atropine Sulfate,8,2018,6619292.7,781266,141190,89482,8.47,46.88,73.97,0,-0.0637,0.0273
Atrovent HFA,Ipratropium Bromide,1,2018,125569289.5,4451011,279802,85101,28.21,448.78,1475.53,0,0.0508,0.0624
Aubagio,Teriflunomide,1,2018,627062230.1,2633511,76549,10529,238.11,8191.64,59555.73,0,0.0663,0.0603
