Year,OSHPD ID,Manufacturer Name,Date Reported,NDC Number,Drug Product Description,WAC Effective Date,WAC Increase Amount,WAC After Increase,Patent Expiration Date,Drug Source Type,Unit Sales Volume in US,Unit Sales Volume Non-Public Indicator,Cost Increase Factors,Cost Increase Factors Non-Public Indicator,Change Improvement Description,Change Improvement Non-Public Indicator,Acquisition Date,Company Acquired From,Acquisition Price,Acquisition Price Non-Public Indicator,Acquisition Price Comment,WAC at Acquisition,WAC Year Prior to Acquisition,Year Drug Introduced to Market,WAC at Intro to Market,Supporting Documents,General Comments
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597014090,TRADJENTA 5 MG TABLET,01/01/2019,74.07,1308.51,03/05/2031,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=230,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597014618,JENTADUETO 2.5 MG-500 MG TAB,01/01/2019,74.07,1308.51,06/04/2030,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=169,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597014660,JENTADUETO 2.5 MG-500 MG TAB,01/01/2019,24.69,436.17,06/04/2030,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=170,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597014718,JENTADUETO 2.5 MG-850 MG TAB,01/01/2019,74.07,1308.51,06/04/2030,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=171,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597014760,JENTADUETO 2.5 MG-850 MG TAB,01/01/2019,24.69,436.17,06/04/2030,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=172,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597014818,"JENTADUETO 2.5 MG-1,000 MG TAB",01/01/2019,74.07,1308.51,06/04/2030,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=173,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597014860,"JENTADUETO 2.5 MG-1,000 MG TAB",01/01/2019,24.69,436.17,06/04/2030,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=174,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597015230,JARDIANCE 10 MG TABLET,01/01/2019,27.90,492.85,06/11/2034,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=163,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597015237,JARDIANCE 10 MG TABLET,01/01/2019,27.90,492.85,06/11/2034,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=164,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597015290,JARDIANCE 10 MG TABLET,01/01/2019,83.69,1478.54,06/11/2034,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=165,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597015330,JARDIANCE 25 MG TABLET,01/01/2019,27.90,492.85,06/11/2034,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=166,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597015337,JARDIANCE 25 MG TABLET,01/01/2019,27.90,492.85,06/11/2034,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=167,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597015390,JARDIANCE 25 MG TABLET,01/01/2019,83.69,1478.54,06/11/2034,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=168,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597015918,SYNJARDY 5-500 MG TABLET,01/01/2019,83.69,1478.54,04/15/2027,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=220,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597015960,SYNJARDY 5-500 MG TABLET,01/01/2019,27.90,492.85,04/15/2027,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=221,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597016818,"SYNJARDY 12.5-1,000 MG TABLET",01/01/2019,83.69,1478.54,04/15/2027,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=222,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597016860,"SYNJARDY 12.5-1,000 MG TABLET",01/01/2019,27.90,492.85,04/15/2027,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=223,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597017518,"SYNJARDY 5-1,000 MG TABLET",01/01/2019,83.69,1478.54,04/15/2027,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=224,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597017560,"SYNJARDY 5-1,000 MG TABLET",01/01/2019,27.90,492.85,04/15/2027,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=225,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597018018,SYNJARDY 12.5-500 MG TABLET,01/01/2019,83.69,1478.54,04/15/2027,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=226,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597018060,SYNJARDY 12.5-500 MG TABLET,01/01/2019,27.90,492.85,04/15/2027,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=227,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597027073,"JENTADUETO XR 2.5 MG-1,000 MG",01/01/2019,24.69,436.17,03/06/2033,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=175,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597027094,"JENTADUETO XR 2.5 MG-1,000 MG",01/01/2019,74.07,1308.51,03/06/2033,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=176,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597027533,"JENTADUETO XR 5 MG-1,000 MG TB",01/01/2019,24.69,436.17,03/06/2033,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=177,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,03/31/2019,00597027581,"JENTADUETO XR 5 MG-1,000 MG TB",01/01/2019,74.07,1308.51,03/06/2033,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=178,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000122,Amneal Pharmaceuticals,03/31/2019,60846088201,Prandin® (repaglinide tablets) 1mg 100  Tabs,01/04/2019,71.40,792.64,,Non-innovator Multiple Source Drug,5667,,"Manufacturing costs and market conditions
require increase to remain on market",,,1,05/07/2018,"Gemini Laboratories, LLC",,,Amneal does not have the ability to separate the portion of the total acquisition price allocated to the individual drug products. Total  amount was 117000000,656.26,625.61,2013,339.25,,Column 12 Blank - No change to the product
2019,Rx0000122,Amneal Pharmaceuticals,03/31/2019,60846088401,Prandin® (repaglinide tablets) 2mg 100  Tab,01/04/2019,71.40,792.64,,Non-innovator Multiple Source Drug,9733,,"Manufacturing costs and market conditions
require increase to remain on market",,,1,05/07/2018,"Gemini Laboratories, LLC",,,Amneal does not have the ability to separate the portion of the total acquisition price allocated to the individual drug products. Total amount was 117000000,656.26,625.61,2013,339.25,,Column 12 Blank - No change to the product
2019,Rx0000092,"Santarus, Inc.",03/31/2019,68012025820,CYCLOSET® (bromocriptine mesytate tablets) 0.8 mg tablets,01/18/2019,47.48,838.74,04/30/2032,Single Source Drug,,1,,1,,1,,,,,,,,,,,The product was not acquired within the last 5 years.
2019,Rx0000231,American Health Packaging,12/31/2019,68084011201,Glipizide ER Tablet  10mg 100UD,12/05/2019,15.50,88.44,,Non-innovator Multiple Source Drug,2238,,Market Conditions,,No change or improvement in the drug product,,,,,,,,,,,,"The acquisition fields do not need to be filled out because the drug was not acquired within the previous 5 years. All the fields that are left blank are due to ""Not Applicable""."
2019,Rx0000154,Corcept Therapeutics Incorporated,09/30/2019,76346007301,Korlym (mifepristone) 300mg Tablets 28-ct Bottles,08/01/2019,1148.00,13972.00,08/22/2038,Single Source Drug,,1,"Corcept is committed to discovering, developing and making available to patients and physicians medicines that treat serious disorders for which there are few – or no – good treatment options.  In setting Korlym’s price, we weigh (i) the increased cost of administrative and commercial activities, (ii) the increased cost of discovering and developing innovative new drug candidates and (iii) our commitment that no patient be denied Korlym for financial reasons.",,N/A,,,,,,,,,,,,"WAC is reported at the package level. The information provided herein is provided to the best of our knowledge as of submission and based on our interpretation of applicable statutory and regulatory provisions. Information designated as confidential has been designated as such based on our understanding and belief that the subject information is non-public. Our provision of information shall not be interpreted as a waiver of any of our rights available under state, federal, or other applicable law with respect to the information contained herein or with respect to California SB 17, all of which we expressly reserve.  Patent expiration dates do not reflect any pending patent applications, future filed patent applications, patent term extensions, data exclusivity (including orphan drug, pediatric, or other exclusivity), or patent-related litigation, each of which is speculative and which may extend or shorten the reported expiration date. 

The drug was developed by Corcept."
2019,Rx0000154,Corcept Therapeutics Incorporated,09/30/2019,76346007302,Korlym (mifepristone) 300mg Tablets 280-ct Bottles,08/01/2019,11480.00,139720.00,08/22/2038,Single Source Drug,,1,"Corcept is committed to discovering, developing and making available to patients and physicians medicines that treat serious disorders for which there are few – or no – good treatment options.  In setting Korlym’s price, we weigh (i) the increased cost of administrative and commercial activities, (ii) the increased cost of discovering and developing innovative new drug candidates and (iii) our commitment that no patient be denied Korlym for financial reasons.",,N/A,,,,,,,,,,,,"WAC is reported at the package level. The information provided herein is provided to the best of our knowledge as of submission and based on our interpretation of applicable statutory and regulatory provisions. Information designated as confidential has been designated as such based on our understanding and belief that the subject information is non-public. Our provision of information shall not be interpreted as a waiver of any of our rights available under state, federal, or other applicable law with respect to the information contained herein or with respect to California SB 17, all of which we expressly reserve.  Patent expiration dates do not reflect any pending patent applications, future filed patent applications, patent term extensions, data exclusivity (including orphan drug, pediatric, or other exclusivity), or patent-related litigation, each of which is speculative and which may extend or shorten the reported expiration date.

The drug was developed by Corcept."
2020,Rx0000114,Eli Lilly and Company,03/31/2020,00002143380,TRULICITY™ 0.75 mg/0.5 mL carton of 4 single-dose pens,01/31/2020,37.90,797.30,12/27/2027,Single Source Drug,,1,,1,,1,,,,,,,,,,,"All information is provided by Eli Lilly and Company (""Lilly"") to the best of our knowledge at the time of submission.  Lilly provides this report consistent with its understanding and interpretation of California Health and Safety Code Chapter 9 §127675-127686 and its related provisions.  In providing this report, Lilly does not waive any rights that it may have at law or in equity with respect to the applicability, interpretation, or application of California Health and Safety Code Chapter 9 §127675-127686 as it may relate to Lilly or any of its affiliates now or in the future.  Lilly, on behalf of itself and affiliates, expressly reserves all such rights.  The reported patent expiration information relates to only one or more compound patents covering TRULICITY™ and does not reflect pending possible patent extensions or patents, including pending patent applications, that may cover other aspects of TRULICITY™.  Consistent with the relevant statutes and regulations, all information contained in this report is limited to that which Lilly believes is otherwise in the public domain or publicly available. This product was not acquired within the last 5 years, therefore columns 14-21 are intentionally left blank."
2020,Rx0000114,Eli Lilly and Company,03/31/2020,00002143480,TRULICITY™ 1.5 mg /0.5mL carton of 4 single-dose pens,01/31/2020,37.90,797.30,12/27/2027,Single Source Drug,,1,,1,,1,,,,,,,,,,,"All information is provided by Eli Lilly and Company (""Lilly"") to the best of our knowledge at the time of submission.  Lilly provides this report consistent with its understanding and interpretation of California Health and Safety Code Chapter 9 §127675-127686 and its related provisions.  In providing this report, Lilly does not waive any rights that it may have at law or in equity with respect to the applicability, interpretation, or application of California Health and Safety Code Chapter 9 §127675-127686 as it may relate to Lilly or any of its affiliates now or in the future.  Lilly, on behalf of itself and affiliates, expressly reserves all such rights.  The reported patent expiration information relates to only one or more compound patents covering TRULICITY™ and does not reflect pending possible patent extensions or patents, including pending patent applications, that may cover other aspects of TRULICITY™.  Consistent with the relevant statutes and regulations, all information contained in this report is limited to that which Lilly believes is otherwise in the public domain or publicly available. This product was not acquired within the last 5 years, therefore columns 14-21 are intentionally left blank."
